City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,Limon,10.0,-83.0333,82.4,69,0,6.91,CR,2021-01-07 18:28:43
50,Butaritari,3.0707,172.7902,81.36,81,0,20.56,KI,2021-01-07 18:28:40
51,Cape Town,-33.9258,18.4232,71.01,68,20,20.71,ZA,2021-01-07 18:29:28
52,Matola,-25.9622,32.4589,77.0,88,90,5.75,MZ,2021-01-07 18:32:49
53,Bilma,18.6853,12.9164,77.4,17,0,6.71,NE,2021-01-07 18:31:06
54,Provideniya,64.3833,-173.3,-7.85,82,11,5.32,RU,2021-01-07 18:32:49
55,Tabuk,17.4189,121.4443,69.03,89,44,5.88,PH,2021-01-07 18:32:50
56,Kieta,-6.2167,155.6333,80.42,76,100,3.49,PG,2021-01-07 18:29:01
57,Asau,46.4333,26.4,39.0,54,96,6.73,RO,2021-01-07 18:32:50
58,Hobart,-42.8794,147.3294,53.6,94,75,9.22,AU,2021-01-07 18:30:17
59,Santa Maria,-29.6842,-53.8069,91.4,38,75,10.36,BR,2021-01-07 18:28:45
60,Kloulklubed,7.0419,134.2556,77.0,94,75,12.28,PW,2021-01-07 18:32:51
61,Kichera,55.9375,110.0997,-8.59,84,100,0.47,RU,2021-01-07 18:32:51
62,Ushuaia,-54.8,-68.3,59.0,47,40,4.61,AR,2021-01-07 18:31:34
63,Yellowknife,62.456,-114.3525,-0.99,77,20,3.04,CA,2021-01-07 18:31:17
64,Novocheboksarsk,56.111,47.4776,14.0,85,75,11.18,RU,2021-01-07 18:28:13
65,Clyde River,70.4692,-68.5914,-18.4,63,40,5.75,CA,2021-01-07 18:32:52
66,Tiksi,71.6872,128.8694,-16.42,88,100,19.93,RU,2021-01-07 18:32:52
67,Jamestown,42.097,-79.2353,30.99,80,90,6.91,US,2021-01-07 18:32:52
68,Najran,17.4924,44.1277,60.8,36,0,6.91,SA,2021-01-07 18:32:53
69,Upernavik,72.7868,-56.1549,-0.63,91,100,9.31,GL,2021-01-07 18:32:53
