City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Manzanillo,CU,79.65,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
385,Fare,PF,80.58,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
386,Eureka,US,54.0,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
388,Lima,PE,77.0,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
389,Urcos,PE,68.0,light rain,-13.6861,-71.6228,Qali Samanawasi
390,Ambon,ID,84.99,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
392,Xai-Xai,MZ,76.42,clear sky,-25.0519,33.6442,Complexo da Familia
393,Buchanan,LR,77.0,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
394,Valle De Allende,MX,53.83,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
396,Lagoa,PT,60.67,scattered clouds,39.05,-27.9833,Casa Das Faias
397,Coari,BR,82.8,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
399,Birao,CF,70.02,overcast clouds,10.2849,22.7882,
400,Buldana,IN,70.05,clear sky,20.5333,76.1833,Saikrupa Lawns
402,Tuy Hoa,VN,70.77,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
403,Camana,PE,73.78,broken clouds,-16.6228,-72.7111,Hostal Morales
405,Srandakan,ID,76.37,overcast clouds,-7.9386,110.2506,Puri Brata
407,Mazatlan,MX,77.0,clear sky,23.2167,-106.4167,Gaviana Resort
408,Los Llanos De Aridane,ES,62.6,few clouds,28.6585,-17.9182,Valle Aridane
409,Ler,SS,78.15,few clouds,8.3018,30.1418,
410,Bellevue,US,50.0,broken clouds,47.6104,-122.2007,The Westin Bellevue
411,Vila Velha,BR,82.4,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
413,North Bend,US,53.6,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
