City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Argelia,CO,72.34,moderate rain,2.2556,-77.2488,Hotel San Fernando Argelia
647,Copiapo,CL,69.8,clear sky,-27.3667,-70.3333,Antay Casino Hotel
649,Itanagar,IN,60.22,few clouds,27.1,93.6167,OYO 45507 Hotel Moomsie
650,Marsala,IT,66.99,few clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
651,Waipawa,NZ,63.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
653,Bubaque,GW,79.38,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
657,Sambava,MG,77.81,clear sky,-14.2667,50.1667,Melrose
661,Auki,SB,78.06,overcast clouds,-8.7676,160.7034,Auki Motel
665,Akyab,MM,70.54,clear sky,20.15,92.9,Hotel Memory
669,Xuddur,SO,75.69,clear sky,4.1213,43.8894,Banjanay Hotel
671,Abu Dhabi,AE,64.4,clear sky,24.4667,54.3667,Beach Rotana
679,Arlit,NE,79.43,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
681,Bitam,GA,74.44,clear sky,2.076,11.5007,Bénédicta hôtel
683,Matamoros,MX,66.2,clear sky,25.5333,-103.25,Quinta Belem
684,Darnah,LY,68.14,clear sky,32.766999999999996,22.6367,فندق الفردوس
686,Menongue,AO,63.84,overcast clouds,-14.6585,17.691,Ritz Lauca
692,Innisfail,AU,74.73,scattered clouds,-17.5333,146.0333,Moondarra Motel
698,Valparaiso,CL,71.6,clear sky,-33.0393,-71.6273,Hotel Ultramar
699,Antofagasta,CL,73.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
701,Ahipara,NZ,65.12,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
